Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0141,APPLICATOR TUBULAR NO.1,1,EA,WHSE,39.24,39.24,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0142,APPLICATOR TUBULAR NO.2,1,EA,WHSE,43.16,43.16,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0149,BANDAGE TENSOR 6IN X5YDS,3,EA,WHSE,1.01,3.03,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0150,BANDAGE CREPE 3IN X 5YDS,12,EA,WHSE,3.78,45.36,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0154,"BANDAGE ELASTIC ADHESIVE BACK 7.5CM X 4.6M ROLLED, SKIN COLOUR, ONE SIDE COATED WITH ADHESIVE BACKING",6,EA,WHSE,9.58,57.48,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0177,BANDAGE GZ TUB 1.6CMX20M,2,EA,WHSE,6.24,12.48,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0178,BANDAGE GAUZE TUBULAR 2.5CM W X 20M LG WHITE NONSTERILE W/O APPLICATOR ROLLED FORM IN DISPENSING PACKAGE (SIZE 2),2,EA,WHSE,6.76,13.52,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0179,BANDAGE TRIANGLE KHAKI,300,PG,WHSE,1.95,585,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-116-0202,PAD NONADHERENT 7.5X10CM,25,EA,WHSE,0.11,2.75,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-845-2189,PAD COTTON (EYE) OVAL,6,EA,WHSE,0.16,0.96,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-845-2200,"BANDAGE, STRETCH GAUZE, WHITE 7.6CM W X 4.5M LG, ROLL, NONSTERILE, LATEX-FREE",12,RO,WHSE,0.2,2.4,C,
