Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-CF-005-0114,COCOON WARMING BLANKET DISPOSABLE FULL BODY,2,EA,WHSE,9.95,19.9,C,
6515-CF-005-0115,COCOON WARMING BLANKET DISPOSABLE LOWER BODY,2,EA,WHSE,9.95,19.9,C,
6515-CF-005-0117,COCOON WARMING BLANKET DISPOSABLE PAEDIACTRIC FULL BODY,1,EA,WHSE,9.95,9.95,C,
6515-CF-005-0119,COCOON WARMING BLANKET DISPOSABLE ADULT FULL ACCESS UNDER BODY,2,EA,WHSE,30,60,C,
6515-CF-005-0120,COCOON WARMING BLANKET DISPOSABLE FULL BODY LARGE,2,EA,WHSE,18.4,36.8,C,
6515-CF-005-0209,"ELECTROCARDIOGRAPH, 12 LEAD - SCHILLER AT-102 G2",1,EA,WHSE,5876,5876,A,
6515-CF-005-0473,QINFLOW WARRIOR LITE EXTENDED SET FLUID WARMER,1,EA,WHSE,7300,7300,A,
6515-CF-005-0474,QINFLOW COMPACT DISPOSABLE UNIT FLUID WARMER,6,EA,WHSE,135.84,815.04,C,
6515-CF-005-0648,MCGRATH MAC VL VIDEO LARYNGOSCOPE,1,EA,WHSE,2200,2200,B,
6515-CF-005-0818,MCGRATH 3.6V BATTERY,1,EA,WHSE,55,55,C,
6515-CF-005-0819,MCGRATH MAC BLADE SIZE 3 50/BOX,5,EA,WHSE,10,50,C,
6515-CF-005-0820,MCGRATH MAC BLADE SIZE 4 50/BOX,5,EA,WHSE,10,50,C,
6515-CF-005-0821,MCGRATH MAC BLADE SIZE 2 50/BOX,2,EA,WHSE,10,20,C,
6515-CF-005-0822,MCGRATH MAC BLADE SIZE 1 50/BOX,2,EA,WHSE,10,20,C,
6515-CF-005-0823,MCGRATH X3 BLADE 10/BOX,5,EA,WHSE,15,75,C,
6530-21-116-5137,DISPENSER INDICATOR TAPE,1,EA,WHSE,206.53,206.53,D,
6530-21-845-0872,TAPE STEAM STERILIZE INDICATOR 18MM,2,RO,ExternalRqn,4.23,8.46,C,
6530-21-893-6958,ENVELOP HEAT SEAL 7.6CM,1,RO,WHSE,11.6,11.6,C,
6530-21-893-6959,ENVELOP HEAT SEAL 15.2CM,1,RO,WHSE,14.12,14.12,C,
6530-21-893-6960,ENVELOPE HEAT SEAL,1,RO,WHSE,30,30,C,
6530-CF-001-7680,CONCENTRATOR OXYGEN,1,EA,WHSE,780.77,780.77,B,
6530-CF-001-7719,SEALER HEAT LIFTSL 18IN,1,EA,WHSE,3660.82,3660.82,B,
6530-CF-001-8608,STERILIZER STEAM SURG,1,EA,WHSE,5153.72,5153.72,A,
6530-CF-002-6607,CLEANER ULTRASONIC SMALL,1,EA,WHSE,1320.75,1320.75,B,
6530-CF-005-0088,"PATIENT WARMER MACHINE, 34-43 DEG C",2,EA,WHSE,1330,2660,A,
6530-CF-005-0367,"BACKBOARD, W/10PINS, YELLOW",2,EA,WHSE,306.86,613.72,D,
6532-CF-003-0369,BLANKET CASUALTY HYPOTHERMIA WITH 4 HEAT PADS,4,EA,WHSE,205,820,D,
6540-01-629-4401,"SHIELD, OPHTHALMIC TONOMETER",1,BX,WHSE,213.77,213.77,C,
6540-CF-001-9523,SLIT LAMP COMPACT,1,EA,WHSE,2212.38,2212.38,B,
6540-CF-002-8468,TONOMETER PEN HANDHELD,1,EA,WHSE,10441.61,10441.61,A,
6550-CF-002-0621,"PROTHROMBIN PT/INR, CARTRIDGE, SINGLE-USE, DISPOSABLE, FOR USE WITH ANALYZER 6630-20-A0H-9358",24,EA,WHSE,12.17,292.08,C,
6550-CF-002-2005,CONTROL SLTN PT/INR LVL1,1,BX,WHSE,88.85,88.85,C,
6550-CF-002-2006,CONTROL SLTN PT/INR LVL2,1,BX,WHSE,88.85,88.85,C,
6550-CF-002-6329,"CARTRIDGE, I-STAT CHEM8+",25,EA,WHSE,23.18,579.5,C,
6550-CF-002-8514,"CARTRIDGE, TEST, CARDIAC MARKER, TROPONIN I, I-STAT",25,EA,WHSE,22.47,561.75,C,
6550-CF-002-8515,"CONTROL, TROPONIN I, LEVEL 1,CARDIAC LEVEL 1 AQUEOUS CONTROL, 1ML BOTTLE FOR ISTAT CARTRIDGE 6550-CF-002-8514",1,BX,WHSE,200.32,200.32,C,
6550-CF-002-8516,"CONTROL, TROPONIN I, LEVEL 3,CARDIAC LEVEL 3 AQUEOUS CONTROL, 1ML BOTTLE FOR ISTAT CARTRIDGE 6550-CF-002-8514",1,BX,WHSE,200.32,200.32,C,
6550-CF-002-8995,"CONTROL LEVEL 1, 10 AMPS X 1.7ML, USED WITH ANALYZER 6630-20-A0H-9358",1,BX,WHSE,36.38,36.38,C,
6550-CF-002-8996,"CONTROL LEVEL 2, 10 AMPS X 1.7ML, USED WITH ANALYZER 6630-20-A0H-9358",1,BX,WHSE,36.27,36.27,C,
6550-CF-002-8997,"CONTROL LEVEL 3, 10 AMPS X 1.7ML, USED WITH ANALYZER 6630-20-A0H-9358",1,BX,WHSE,36.27,36.27,C,
6550-CF-002-9596,"CONTROL, I-STAT CTNI LEVEL 2",1,BX,WHSE,200.32,200.32,C,
6550-CF-005-0306,CARTRIDGE TEST CG4+ (I-STAT ANALYSER)LACTATE/PH/PCO2/PO2/TCO2/HCO3/BE/SO2,1,BX,WHSE,301.25,301.25,C,
6630-20-A0H-9358,"ANALYSER, CLINICAL, PORTABLE, I-STAT1 MODEL, WITH THERMAL CONTROL",1,EA,WHSE,11185.91,11185.91,A,
6640-00-234-0185,INCUBATOR PORTABLE 115V,1,EA,WHSE,4032.24,4032.24,B,
6680-01-520-8009,REGULATR O2 K OR H CYLDR,1,EA,WHSE,573.24,573.24,D,
6850-CF-001-2034,ULTRAS CLNR SOL MIC576,2,BT,WHSE,55.2,110.4,C,
7530-CF-002-8906,"PAPER, PRINTER, CHART, 80MM, WHITE FOR USE WITH 6515-01-693-1239",6,RO,WHSE,6.63,39.78,C,
