Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-CF-002-9589,"SET, SECONDARY MEDICAL, NEEDLELESS, WITH HANGER AND MALE LUER LOCK ADAPTER, 37IN (94CM)",1,EA,WHSE,2.17,2.17,D,
6515-CF-003-0008,APPLICATOR DISPOSABLE,0.1,BX,WHSE,13.05,1.31,C,
6515-CF-005-1470,"CPR MASK, POCKET VENTILLATOR, W/HEADSTRAP, ONE-WAY VALVE AND OXYGEN INLET",1,EA,WHSE,5.4,5.4,C,
6530-20-001-2849,COVER PROBE THERMOMETER,1,PG,WHSE,3.93,3.93,C,
6530-20-011-4406,"DISPOSAL CONTAINER, HYPODERMIC NEEDLE AND SYRINGE, 0.15L",1,EA,WHSE,3.52,3.52,C,
6530-21-880-6717,PAD COLD TMT,2,EA,WHSE,0.94,1.88,C,
6545-CF-002-0271,KIT 8 AIRWAYS (OPA'S),1,KT,WHSE,20.01,20.01,C,
6545-CF-002-8271,CASE CARRY MEDICATION,1,EA,WHSE,40.1,40.1,D,
6550-CF-002-9329,"SOLUTION, LOW CONTROL (LEVEL 1), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9330,"SOLUTION, NORMAL CONTROL (LEVEL 2), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9331,"SOLUTION, HIGH CONTROL (LEVEL 3), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9332,"TEST STRIPS,(50'S) FOR GLUCOSE MONITOR 6630-CF-005-0307",1,BT,WHSE,43.66,43.66,C,
6630-CF-005-0307,CONTOUR NEXT GEN GLUCOMETER BLOOD GLUCOSE MONITORING SYSTEM,1,EA,WHSE,26,26,C,
6685-20-001-2846,THERMOMETER SELF INDICAT,1,EA,WHSE,10.2,10.2,C,
7530-21-903-1443,FORM PRINTED WHITE,2,EA,ExternalRqn,0.6,1.2,C,
7690-21-883-2495,LABEL PAPER PRESCRIPTION,0.04,RO,ExternalRqn,0,0,C,
8105-21-900-0912,"BAG ZIP-LOC 4 X 3""",0.1,PG,ExternalRqn,2.13,0.21,C,
8145-01-682-0894,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",2,EA,WHSE,0.81,1.62,C,
9330-21-859-2658,"PLASTIC WRAP, ROLL, POLYVINYL CHLORIDE, 29.5CM WIDE, 90M LONG",1,EA,ExternalRqn,3.99,3.99,C,
MED TECH TRIAL BAGS PRINTOUT,Med Tech Trial Bags Printout.,1,,Resource,1.2,1.2,,
